#AOR	epoch	channel	RAtopL	DECtopL	RAbotL	DECbotL	RAbotR	DEbotR	RAtopR	DECtopR
53	1	2	6.42925823518	1.0705493201	7.26869438931	-0.951619374848	6.68520652889	-1.19004156035	5.84698767741	0.828306815993
53	2	1	6.33114703549	1.19141936841	7.17144236953	-0.832355692567	6.58737421546	-1.07018587212	5.74818309129	0.948638312566
53	2	2	6.37733662935	1.08747049526	7.21689301389	-0.93482884007	6.63316888057	-1.17354705103	5.79497954106	0.844992323101
54	1	1	7.008174388	1.19234158735	7.83602778537	-0.836363866457	7.25082376429	-1.07094011458	6.42376922303	0.95305569068
54	1	2	7.05374038243	1.0881983443	7.88094045494	-0.940098763229	7.29595738225	-1.17437514096	6.47012739562	0.848729257177
54	2	1	7.06096429939	1.17587419682	7.88756211683	-0.853525219299	7.30214965405	-1.08758809889	6.47625909845	0.936886472422
54	2	2	7.10646658184	1.07158608139	7.93233546289	-0.956344537483	7.34723204996	-1.19122664988	6.52255398387	0.832875265356
55	1	1	7.68114312919	1.19270759081	8.50399194705	-0.838223662156	7.91800385364	-1.07128443066	7.09593730183	0.954934444515
55	1	2	7.72653982285	1.08838745012	8.5486797869	-0.941952714146	7.96295249428	-1.1748134078	7.14198921515	0.850796327911
55	2	1	7.73379098369	1.17603561361	8.55563124055	-0.855297232561	7.96940197487	-1.08776119078	7.14862753753	0.938614174394
55	2	2	7.77905165599	1.07174427947	8.6001485781	-0.958113252588	8.0142973093	-1.19157300041	7.19453950109	0.834515219517
56	1	1	8.40967320156	1.17774782121	9.22341940982	-0.856656408486	8.63653620052	-1.08700940629	7.82346683854	0.942465859959
